Format Version,1.23,Take Name,Take 2024-04-16 11.26.20 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.26.21.092 AM,Capture Start Frame,160692,Total Frames in Take,6521,Total Exported Frames,6521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1203,Unlabeled 1203,Unlabeled 1203,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209
,ID,"CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0","CE8A0","CE8A0","CE8A0","CE900","CE900","CE900","CE8F0","CE8F0","CE8F0","CE910","CE910","CE910","CE940","CE940","CE940"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
117,0.975000,0.138733,-0.097692,-0.092063,0.165217,-0.093092,-0.045932,0.191058,-0.100677,-0.165569,,,,,,,,,,,,
118,0.983333,0.135290,-0.099465,-0.091296,0.161990,-0.094520,-0.044587,0.188385,-0.102393,-0.164366,,,,,,,,,,,,
119,0.991667,0.131808,-0.101179,-0.090479,0.158489,-0.096016,-0.043092,0.185679,-0.104059,-0.163122,,,,,,,,,,,,
120,1.000000,0.128495,-0.102820,-0.089630,0.155169,-0.097351,-0.041606,0.182974,-0.105708,-0.161840,,,,,,,,,,,,
121,1.008333,0.125107,-0.104450,-0.088716,0.151638,-0.098726,-0.040047,0.180187,-0.107351,-0.160519,,,,,,,,,,,,
122,1.016667,0.121631,-0.106065,-0.087764,0.148189,-0.099994,-0.038470,0.177288,-0.109006,-0.159156,,,,,,,,,,,,
123,1.025000,0.118197,-0.107579,-0.086774,0.144757,-0.101228,-0.036888,0.174293,-0.110632,-0.157758,,,,,,,,,,,,
124,1.033333,0.114452,-0.109097,-0.085715,0.141229,-0.102461,-0.035286,0.171339,-0.112176,-0.156345,,,,,,,,,,,,
125,1.041667,0.111017,-0.110535,-0.084679,0.137583,-0.103684,-0.033620,0.168186,-0.113634,-0.154850,,,,,,,,,,,,
126,1.050000,0.107344,-0.111911,-0.083560,0.134218,-0.104878,-0.032022,0.165166,-0.115062,-0.153412,,,,,,,,,,,,
127,1.058333,0.103855,-0.113307,-0.082441,0.130324,-0.106170,-0.030386,0.162031,-0.116455,-0.151927,,,,,,,,,,,,
128,1.066667,0.100222,-0.114647,-0.081268,0.126613,-0.107440,-0.028737,0.158818,-0.117792,-0.150411,,,,,,,,,,,,
129,1.075000,0.096514,-0.115994,-0.080051,0.122904,-0.108736,-0.027076,0.155642,-0.119127,-0.148862,,,,,,,,,,,,
130,1.083333,0.092870,-0.117305,-0.078796,0.119156,-0.110000,-0.025370,0.152432,-0.120365,-0.147265,,,,,,,,,,,,
131,1.091667,0.089223,-0.118547,-0.077525,0.115373,-0.111243,-0.023691,0.149348,-0.121600,-0.145672,,,,,,,,,,,,
132,1.100000,0.085673,-0.119749,-0.076229,0.111625,-0.112405,-0.021943,0.146084,-0.122792,-0.144007,,,,,,,,,,,,
133,1.108333,0.081942,-0.120990,-0.074818,0.107855,-0.113509,-0.020152,0.142871,-0.123947,-0.142283,,,,,,,,,,,,
134,1.116667,0.078426,-0.122115,-0.073387,0.104119,-0.114507,-0.018324,0.139813,-0.125009,-0.140551,,,,,,,,,,,,
135,1.125000,0.074910,-0.123136,-0.071799,0.100461,-0.115360,-0.016432,0.136609,-0.126030,-0.138696,,,,,,,,,,,,
136,1.133333,0.071182,-0.124110,-0.070163,0.096889,-0.116022,-0.014484,0.133409,-0.126963,-0.136793,,,,,,,,,,,,
137,1.141667,0.067804,-0.124890,-0.068469,0.092937,-0.116681,-0.012390,0.130412,-0.127760,-0.134869,,,,,,,,,,,,
138,1.150000,0.064346,-0.125586,-0.066717,0.089545,-0.117109,-0.010257,0.127267,-0.128477,-0.132849,,,,,,,,,,,,
139,1.158333,0.060778,-0.126151,-0.064862,0.085919,-0.117473,-0.007989,0.124060,-0.129135,-0.130734,,,,,,,,,,,,
140,1.166667,0.057342,-0.126531,-0.062915,0.082717,-0.117643,-0.005672,0.120918,-0.129676,-0.128554,,,,,,,,,,,,
141,1.175000,0.053943,-0.126855,-0.060921,0.079154,-0.117795,-0.003224,0.117769,-0.130042,-0.126328,,,,,,,,,,,,
142,1.183333,0.050724,-0.126995,-0.058904,0.075776,-0.117812,-0.000754,0.114667,-0.130396,-0.124085,,,,,,,,,,,,
143,1.191667,0.047395,-0.127013,-0.056828,0.072701,-0.117636,0.001731,0.111590,-0.130540,-0.121830,,,,,,,,,,,,
144,1.200000,0.044100,-0.126890,-0.054752,0.069284,-0.117419,0.004238,0.108473,-0.130642,-0.119541,,,,,,,,,,,,
145,1.208333,0.040721,-0.126634,-0.052637,0.066014,-0.117003,0.006818,0.105424,-0.130574,-0.117258,,,,,,,,,,,,
146,1.216667,0.037430,-0.126146,-0.050521,0.062991,-0.116490,0.009400,0.102331,-0.130379,-0.114946,,,,,,,,,,,,
147,1.225000,0.034189,-0.125515,-0.048457,0.059853,-0.115860,0.012002,0.099255,-0.130054,-0.112640,,,,,,,,,,,,
