Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.18.899 AM,Capture Start Frame,433325,Total Frames in Take,3649,Total Exported Frames,3649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324
,ID,"CF6B0","CF6B0","CF6B0","CF6D0","CF6D0","CF6D0","CF6E0","CF6E0","CF6E0","CF720","CF720","CF720"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
185,1.541667,0.079682,0.051643,0.446416,0.194088,0.022970,0.340494,0.083962,0.023207,0.355947,,,
186,1.550000,0.079346,0.052312,0.445363,0.194398,0.023282,0.340251,0.084099,0.023738,0.355233,,,
187,1.558333,0.078977,0.052932,0.444193,0.194538,0.023650,0.339721,0.084264,0.024297,0.354273,,,
188,1.566667,0.078802,0.053373,0.443631,0.194730,0.023862,0.339250,0.084397,0.024905,0.353263,,,
189,1.575000,0.078661,0.053839,0.443020,0.194983,0.023964,0.338882,0.084513,0.025580,0.352154,,,
190,1.583333,0.078429,0.054451,0.442115,0.195185,0.024049,0.338486,0.084722,0.026167,0.351284,,,
191,1.591667,0.078203,0.054941,0.441426,0.195275,0.024133,0.337978,0.084719,0.026745,0.350463,,,
192,1.600000,0.077965,0.055367,0.440742,0.195153,0.024235,0.337269,0.084519,0.027302,0.349524,,,
193,1.608333,0.077685,0.055849,0.440005,0.194819,0.024337,0.336387,0.084191,0.027805,0.348506,,,
194,1.616667,0.077277,0.056445,0.438911,0.194303,0.024636,0.335230,0.083660,0.028387,0.347354,,,
195,1.625000,0.076919,0.057030,0.437853,0.193665,0.025164,0.333948,0.083145,0.028972,0.346310,,,
196,1.633333,0.076453,0.057728,0.436590,0.192941,0.025856,0.332494,0.082548,0.029625,0.345132,,,
197,1.641667,0.076133,0.058297,0.435637,0.192023,0.026692,0.330660,0.081927,0.030311,0.343848,,,
198,1.650000,0.075777,0.058964,0.434478,0.191220,0.027442,0.328936,0.081299,0.031030,0.342549,,,
199,1.658333,0.075374,0.059717,0.433171,0.190598,0.028075,0.327441,0.080625,0.031821,0.341044,,,
200,1.666667,0.074964,0.060378,0.431987,0.190002,0.028762,0.325810,0.079981,0.032534,0.339530,,,
201,1.675000,0.074476,0.061133,0.430437,0.189409,0.029450,0.324118,0.079275,0.033290,0.337818,,,
202,1.683333,0.074024,0.061878,0.428931,0.188839,0.030069,0.322477,0.078623,0.033978,0.336228,,,
203,1.691667,0.073644,0.062559,0.427645,0.188189,0.030674,0.320673,0.078003,0.034669,0.334593,,,
204,1.700000,0.073217,0.063340,0.426110,0.187426,0.031361,0.318596,0.077258,0.035470,0.332856,,,
205,1.708333,0.072712,0.064154,0.424343,0.186672,0.031935,0.316728,0.076409,0.036345,0.330908,,,
206,1.716667,0.072214,0.064876,0.422665,0.185718,0.032632,0.314470,0.075638,0.037119,0.329158,,,
207,1.725000,0.071696,0.065637,0.420889,0.184723,0.033389,0.312039,0.074752,0.037913,0.327201,,,
208,1.733333,0.071116,0.066492,0.418925,0.183834,0.034120,0.309852,0.073890,0.038664,0.325303,,,
