Format Version,1.1,Take Name,Trial03,Capture Frame Rate,120.014526,Export Frame Rate,120.014526,Capture Start Time,2017-11-07 07.12.50.309 PM,Total Frames,646,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11922,Marker_11922,Marker_11922,Marker_11914,Marker_11914,Marker_11914,Marker_11916,Marker_11916,Marker_11916
,,"8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8C","8392B20CF49E35702E8C","8392B20CF49E35702E8C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
195,1.624803,0.077546,0.051085,-0.011739,0.116933,0.070505,0.061623,0.103342,0.056373,0.124431
196,1.633136,0.072149,0.049568,-0.009449,0.115897,0.070469,0.061277,0.102942,0.056497,0.124279
197,1.641468,0.068361,0.048505,-0.007710,0.114914,0.070458,0.060987,0.102687,0.056667,0.124131
198,1.649800,0.066435,0.047944,-0.007005,0.114360,0.070504,0.060839,0.102253,0.056814,0.123979
199,1.658133,0.066424,0.047875,-0.007286,0.113910,0.070603,0.060740,0.101889,0.056885,0.123900
200,1.666465,0.067890,0.048123,-0.008343,0.113776,0.070642,0.060756,0.101582,0.056895,0.123837
201,1.674797,0.070840,0.048622,-0.009986,0.113970,0.070646,0.060821,0.101404,0.056881,0.123830
202,1.683130,0.075009,0.049292,-0.011912,0.114532,0.070672,0.060959,0.101273,0.056790,0.123872
203,1.691462,0.080127,0.049938,-0.014014,0.115255,0.070667,0.061149,0.101343,0.056760,0.123908
204,1.699794,0.086611,0.050811,-0.016043,0.116078,0.070606,0.061353,0.101423,0.056650,0.123978
205,1.708127,0.093581,0.051648,-0.017838,0.117046,0.070560,0.061640,0.101702,0.056616,0.124049
206,1.716459,0.100644,0.052751,-0.019050,0.118135,0.070591,0.061971,0.101997,0.056492,0.124090
207,1.724791,0.106716,0.054276,-0.019778,0.119132,0.070663,0.062354,0.102424,0.056438,0.124165
208,1.733124,0.111887,0.056313,-0.019996,0.119693,0.070627,0.062762,0.102787,0.056373,0.124277
209,1.741456,0.116201,0.058367,-0.019899,0.120408,0.070863,0.063221,0.103179,0.056270,0.124433
210,1.749788,0.119398,0.060056,-0.019655,0.120971,0.070962,0.063566,0.103533,0.056263,0.124566
211,1.758121,0.121562,0.061259,-0.019370,0.121565,0.071120,0.063893,0.103898,0.056248,0.124690
212,1.766453,0.122402,0.061968,-0.019131,0.121958,0.071178,0.064087,0.104097,0.056211,0.124792
213,1.774785,0.121489,0.062057,-0.019089,0.122065,0.071143,0.064129,0.104325,0.056174,0.124877
214,1.783117,0.118661,0.061490,-0.019128,0.122024,0.071112,0.064047,0.104509,0.056174,0.124929
215,1.791450,0.114281,0.060421,-0.019131,0.121725,0.071026,0.063786,0.104495,0.056094,0.124967
216,1.799782,0.108628,0.058884,-0.018894,0.121159,0.070859,0.063451,0.104512,0.056147,0.124936
217,1.808114,0.102162,0.057202,-0.018228,0.120382,0.070723,0.063040,0.104337,0.056167,0.124867
218,1.816447,0.095173,0.055252,-0.017123,0.119585,0.070712,0.062540,0.104037,0.056205,0.124745
219,1.824779,0.088357,0.053281,-0.015562,0.118414,0.070577,0.062061,0.103750,0.056306,0.124585
