Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.59,0.308415,0.946362,0.715905,0.089434,1.658546,0.130641,-0.204493,2.834034,0.208153,-0.310225,0.122672,0.711175,-0.269861,2.169018,0.161207,0.467801,1.662291,0.96267,-0.208239,0.898189,0.410661,0.238728,2.871455,0.918202,0.202181,2.218936,1.035143,0.28591,1.874409,0.878563,-0.2077,1.868526,0.338055
0.6,0.3087,0.946436,0.715648,0.082562,1.655567,0.133402,-0.20431,2.834322,0.208591,-0.310251,0.122714,0.711193,-0.273616,2.169518,0.16341,0.465856,1.660394,0.967361,-0.206124,0.897862,0.411122,0.238735,2.870778,0.918742,0.201988,2.218654,1.036496,0.284304,1.872559,0.882987,-0.2092,1.869935,0.335588
0.61,0.308947,0.946389,0.715422,0.075321,1.652207,0.135769,-0.203999,2.834789,0.209054,-0.310278,0.122741,0.711269,-0.276635,2.169923,0.164989,0.46558,1.659864,0.974185,-0.208191,0.898215,0.410811,0.238869,2.869878,0.919614,0.201942,2.218511,1.038102,0.28326,1.871219,0.885731,-0.207453,1.868501,0.338441
0.62,0.30907,0.946161,0.7154,0.067712,1.648713,0.13749,-0.203962,2.834601,0.209462,-0.310233,0.122686,0.7112,-0.279825,2.17035,0.1666,0.46344,1.658228,0.979834,-0.205996,0.897803,0.411349,0.240121,2.869342,0.919607,0.201207,2.217438,1.039485,0.283319,1.870662,0.886562,-0.207271,1.8684,0.338806
0.63,0.309386,0.946122,0.715178,0.060026,1.645213,0.139138,-0.203671,2.834718,0.209847,-0.31021,0.122703,0.711218,-0.284023,2.170436,0.169341,0.461172,1.656523,0.985685,-0.208144,0.898222,0.411122,0.240579,2.868401,0.920261,0.200667,2.216581,1.041157,0.301984,1.880272,0.858712,-0.207173,1.868356,0.338994
0.64,0.309652,0.946086,0.715064,0.051629,1.641759,0.140681,-0.203418,2.834678,0.210309,-0.310246,0.122717,0.711272,-0.286891,2.170563,0.171219,0.459054,1.655264,0.992354,-0.205918,0.897659,0.411698,0.24007,2.867084,0.921946,0.199929,2.215929,1.042672,0.301437,1.88174,0.86237,-0.208427,1.869483,0.337161
0.65,0.309756,0.945985,0.715112,0.043724,1.638375,0.141964,-0.203228,2.83464,0.210768,-0.310197,0.122723,0.711262,-0.290513,2.170989,0.173607,0.455743,1.653474,0.998455,-0.208149,0.898144,0.411463,0.240949,2.866298,0.922723,0.198719,2.21503,1.043697,0.30112,1.881503,0.863479,-0.208278,1.86939,0.33747
0.66,0.310045,0.945946,0.714985,0.034933,1.634707,0.142933,-0.203011,2.834585,0.211211,-0.310247,0.122683,0.711276,-0.294033,2.171508,0.176358,0.452312,1.651963,1.005094,-0.205909,0.897624,0.412017,0.241484,2.865335,0.923492,0.197237,2.214455,1.044602,0.301336,1.881264,0.864254,-0.209396,1.870512,0.33585
0.67,0.310182,0.945817,0.715038,0.025888,1.631265,0.14331,-0.202819,2.834558,0.211647,-0.310252,0.122689,0.71134,-0.297004,2.171595,0.178614,0.448539,1.650245,1.011501,-0.205598,0.897266,0.412625,0.242512,2.864471,0.924381,0.194339,2.212866,1.044687,0.298275,1.879315,0.867697,-0.210419,1.87155,0.334329
0.68,0.310379,0.945724,0.715026,0.017264,1.627915,0.143559,-0.202764,2.834529,0.212231,-0.310258,0.122729,0.711332,-0.301392,2.171721,0.18215,0.443948,1.648245,1.016892,-0.20637,0.89767,0.412093,0.242769,2.863281,0.925131,0.19208,2.212215,1.045203,0.308731,1.880367,0.855223,-0.209884,1.871112,0.335539
