Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
414,3.45,-0.004868,0.051744,-0.009328,,,
415,3.458333,-0.00495,0.052374,-0.009782,,,
416,3.466667,-0.005163,0.052861,-0.010196,,,
417,3.475,-0.005282,0.053405,-0.010502,,,
418,3.483333,-0.00547,0.053894,-0.010732,,,
419,3.491667,-0.005579,0.054328,-0.010909,,,
420,3.5,-0.005753,0.054668,-0.011067,,,
421,3.508333,-0.005833,0.05503,-0.011126,,,
422,3.516667,-0.005965,0.055218,-0.011141,,,
423,3.525,-0.006033,0.055467,-0.011086,,,
424,3.533333,-0.006056,0.05568,-0.011008,,,
425,3.541667,-0.0061,0.055736,-0.01094,,,
426,3.55,-0.006148,0.055722,-0.010861,,,
427,3.558333,-0.006217,0.055646,-0.010773,,,
428,3.566667,-0.006267,0.055605,-0.01066,,,
429,3.575,-0.006312,0.055554,-0.010515,,,
430,3.583333,-0.006348,0.055511,-0.010359,,,
431,3.591667,-0.006299,0.055578,-0.010169,,,
432,3.6,-0.006314,0.055529,-0.009992,,,
433,3.608333,-0.00638,0.055451,-0.009831,,,
434,3.616667,-0.006438,0.055434,-0.009662,,,
435,3.625,-0.00641,0.055549,-0.009498,,,
436,3.633333,-0.006381,0.055684,-0.009353,,,
437,3.641667,-0.006457,0.055648,-0.009241,,,
438,3.65,-0.006466,0.055708,-0.009098,,,
439,3.658333,-0.00649,0.055705,-0.008993,,,
440,3.666667,-0.006531,0.055689,-0.008902,,,
441,3.675,-0.006551,0.055691,-0.008832,,,
442,3.683333,-0.006552,0.055708,-0.008777,,,
443,3.691667,-0.006494,0.055803,-0.008706,,,
444,3.7,-0.006473,0.055813,-0.00866,,,
