Format Version,1.23,Take Name,Take 2024-04-16 11.47.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.47.16.236 AM,Capture Start Frame,311328,Total Frames in Take,6967,Total Exported Frames,6967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"D0880","D0880","D0880","D08E0","D08E0","D08E0","D0900","D0900","D0900","D0910","D0910","D0910","D0920","D0920","D0920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
161,1.341667,0.288309,-0.048377,-0.073388,0.260860,-0.025400,0.038200,0.239185,-0.022573,-0.004452,,,,,,
162,1.350000,0.288296,-0.048368,-0.073385,0.260887,-0.025388,0.038205,0.239168,-0.022569,-0.004453,,,,,,
163,1.358333,0.288335,-0.048353,-0.073382,0.260857,-0.025386,0.038202,0.239164,-0.022559,-0.004453,,,,,,
164,1.366667,0.288302,-0.048362,-0.073380,0.260852,-0.025375,0.038197,0.239164,-0.022560,-0.004452,,,,,,
165,1.375000,0.288320,-0.048348,-0.073378,0.260867,-0.025371,0.038203,0.239150,-0.022557,-0.004454,,,,,,
166,1.383333,0.288302,-0.048355,-0.073375,0.260859,-0.025370,0.038204,0.239140,-0.022556,-0.004452,,,,,,
167,1.391667,0.288301,-0.048356,-0.073376,0.260841,-0.025381,0.038200,0.239160,-0.022555,-0.004444,,,,,,
168,1.400000,0.288315,-0.048354,-0.073379,0.260838,-0.025387,0.038205,0.239164,-0.022558,-0.004441,,,,,,
169,1.408333,0.288298,-0.048356,-0.073384,0.260833,-0.025405,0.038199,0.239129,-0.022575,-0.004451,,,,,,
170,1.416667,0.288281,-0.048365,-0.073392,0.260845,-0.025405,0.038198,0.239126,-0.022585,-0.004452,,,,,,
171,1.425000,0.288265,-0.048357,-0.073391,0.260852,-0.025395,0.038198,0.239135,-0.022571,-0.004450,,,,,,
172,1.433333,0.288298,-0.048341,-0.073391,0.260851,-0.025399,0.038198,0.239122,-0.022574,-0.004448,,,,,,
173,1.441667,0.288279,-0.048332,-0.073393,0.260862,-0.025387,0.038197,0.239105,-0.022568,-0.004449,,,,,,
174,1.450000,0.288286,-0.048326,-0.073397,0.260850,-0.025379,0.038192,0.239138,-0.022556,-0.004447,,,,,,
175,1.458333,0.288272,-0.048338,-0.073400,0.260862,-0.025380,0.038188,0.239125,-0.022560,-0.004450,,,,,,
176,1.466667,0.288262,-0.048341,-0.073398,0.260850,-0.025391,0.038191,0.239150,-0.022560,-0.004445,,,,,,
177,1.475000,0.288258,-0.048355,-0.073395,0.260870,-0.025395,0.038192,0.239123,-0.022588,-0.004447,,,,,,
