Format Version,1.23,Take Name,jon non dominant,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.47.35.894 AM,Capture Start Frame,161350,Total Frames in Take,2060,Total Exported Frames,2060,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012
,ID,"F3260","F3260","F3260","F32B0","F32B0","F32B0","F32E0","F32E0","F32E0","F3320","F3320","F3320","F3330","F3330","F3330","F3340","F3340","F3340"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
190,1.583333,0.047872,0.045539,0.186025,0.010190,0.019593,0.146707,,,,,,,,,,,,
191,1.591667,0.048282,0.045685,0.186251,0.010419,0.019861,0.146462,,,,,,,,,,,,
192,1.600000,0.048434,0.045934,0.186138,0.010973,0.019917,0.146470,,,,,,,,,,,,
193,1.608333,0.048805,0.046048,0.186315,0.011522,0.020036,0.146562,,,,,,,,,,,,
194,1.616667,0.049192,0.046222,0.186355,0.012067,0.020103,0.146569,,,,,,,,,,,,
195,1.625000,0.049485,0.046452,0.186247,0.012484,0.020364,0.146411,,,,,,,,,,,,
196,1.633333,0.049760,0.046583,0.186295,0.012847,0.020492,0.146328,,,,,,,,,,,,
197,1.641667,0.049948,0.046767,0.186138,0.013282,0.020651,0.146343,,,,,,,,,,,,
198,1.650000,0.050259,0.046868,0.186268,0.013624,0.020797,0.146291,,,,,,,,,,,,
199,1.658333,0.050812,0.046892,0.186446,0.013933,0.020952,0.146173,,,,,,,,,,,,
200,1.666667,0.050907,0.047076,0.186248,0.014426,0.021127,0.146219,,,,,,,,,,,,
201,1.675000,0.051074,0.047298,0.186038,0.014814,0.021367,0.145974,,,,,,,,,,,,
202,1.683333,0.051311,0.047373,0.185997,0.015494,0.021551,0.145996,,,,,,,,,,,,
203,1.691667,0.051690,0.047446,0.185977,0.016051,0.021726,0.145813,,,,,,,,,,,,
204,1.700000,0.051797,0.047513,0.185755,0.016538,0.021965,0.145546,,,,,,,,,,,,
205,1.708333,0.051848,0.047538,0.185556,0.016998,0.022071,0.145455,,,,,,,,,,,,
206,1.716667,0.051846,0.047530,0.185335,0.017316,0.022150,0.145280,,,,,,,,,,,,
207,1.725000,0.051760,0.047458,0.185082,0.017654,0.022207,0.145279,,,,,,,,,,,,
208,1.733333,0.051365,0.047551,0.184447,0.017665,0.022273,0.144976,,,,,,,,,,,,
209,1.741667,0.051223,0.047475,0.184189,0.017511,0.022393,0.144572,,,,,,,,,,,,
210,1.750000,0.050979,0.047369,0.183880,0.017582,0.022340,0.144387,,,,,,,,,,,,
211,1.758333,0.050805,0.047291,0.183510,0.017548,0.022385,0.144050,,,,,,,,,,,,
212,1.766667,0.050721,0.047117,0.183335,0.018070,0.022114,0.144172,,,,,,,,,,,,
213,1.775000,0.050439,0.047071,0.182793,0.018340,0.021949,0.144053,,,,,,,,,,,,
214,1.783333,0.050454,0.046833,0.182660,0.018305,0.021901,0.143616,,,,,,,,,,,,
215,1.791667,0.050237,0.046651,0.182308,0.018421,0.021772,0.143311,,,,,,,,,,,,
216,1.800000,0.050190,0.046407,0.182202,0.018544,0.021655,0.143187,,,,,,,,,,,,
217,1.808333,0.049997,0.046331,0.181953,0.018679,0.021503,0.143059,,,,,,,,,,,,
218,1.816667,0.049646,0.046331,0.181502,0.018688,0.021505,0.142796,,,,,,,,,,,,
219,1.825000,0.049547,0.046263,0.181351,0.018610,0.021511,0.142531,,,,,,,,,,,,
220,1.833333,0.049426,0.046178,0.181264,0.018677,0.021479,0.142475,,,,,,,,,,,,
221,1.841667,0.049416,0.046101,0.181243,0.018627,0.021500,0.142336,,,,,,,,,,,,
222,1.850000,,,,0.018635,0.021473,0.142243,,,,,,,,,,,,
