Format Version,1.23,Take Name,Lab7-Task2-Subject3-001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.28.09.855 AM,Capture Start Frame,416449,Total Frames in Take,4461,Total Exported Frames,4461,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063
,ID,"C7BD0","C7BD0","C7BD0","C7BE0","C7BE0","C7BE0","C7BF0","C7BF0","C7BF0","C7C00","C7C00","C7C00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
187,1.558333,0.066823,0.092384,0.188886,0.123110,0.107812,0.164576,,,,,,
188,1.566667,0.067151,0.093113,0.191371,0.125574,0.108343,0.164988,,,,,,
189,1.575000,0.067128,0.093903,0.193676,0.127880,0.108829,0.165296,,,,,,
190,1.583333,0.066702,0.094736,0.195990,0.129785,0.109299,0.165659,,,,,,
191,1.591667,0.065781,0.095449,0.198068,0.131192,0.109739,0.166182,,,,,,
192,1.600000,0.064509,0.096069,0.200074,0.132297,0.109930,0.166850,,,,,,
193,1.608333,0.063065,0.096610,0.201851,0.133258,0.109819,0.167560,,,,,,
194,1.616667,0.061620,0.097076,0.203382,0.134106,0.109445,0.168486,,,,,,
195,1.625000,0.060135,0.097448,0.204873,0.134944,0.108730,0.169538,,,,,,
196,1.633333,0.058713,0.097656,0.206374,0.135900,0.107674,0.170695,,,,,,
197,1.641667,0.057226,0.097753,0.207952,0.137031,0.106314,0.171929,,,,,,
198,1.650000,0.055609,0.097713,0.209463,0.138309,0.104705,0.173225,,,,,,
199,1.658333,0.053847,0.097496,0.211006,0.139723,0.102827,0.174557,,,,0.100476,0.106824,0.050791
200,1.666667,0.051847,0.097004,0.212429,0.141142,0.100582,0.175905,,,,0.100768,0.105878,0.051880
201,1.675000,0.049548,0.096174,0.213572,0.142303,0.097987,0.177543,,,,0.101166,0.104815,0.052605
202,1.683333,0.047060,0.094969,0.214433,0.143041,0.094894,0.179305,,,,0.101521,0.103858,0.053717
203,1.691667,0.044586,0.093497,0.215180,0.143358,0.091377,0.181104,,,,0.101921,0.102941,0.054749
204,1.700000,0.042308,0.091912,0.216029,0.143338,0.087473,0.182936,,,,0.102314,0.102144,0.055935
205,1.708333,0.040264,0.090164,0.216858,0.143074,0.083296,0.184693,,,,0.102587,0.101382,0.057581
206,1.716667,0.038496,0.088134,0.217756,0.142596,0.078925,0.186364,,,,0.102741,0.100471,0.059021
207,1.725000,0.036937,0.085712,0.218800,0.142000,0.074411,0.187803,,,,0.102848,0.099440,0.060438
208,1.733333,0.035632,0.082764,0.219863,0.141478,0.069801,0.188992,,,,0.102875,0.098275,0.061782
209,1.741667,0.034508,0.079296,0.220924,0.140996,0.065147,0.190074,,,,0.102851,0.096980,0.063002
210,1.750000,0.033418,0.075259,0.221925,0.140461,0.060429,0.190907,,,,0.102716,0.095649,0.064302
211,1.758333,0.032208,0.070688,0.222809,0.139686,0.055700,0.191814,,,,0.102637,0.094312,0.065609
