Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.21.45.505 AM,Capture Start Frame,370323,Total Frames in Take,4920,Total Exported Frames,4920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050
,ID,"C7290","C7290","C7290","C73E0","C73E0","C73E0","C7460","C7460","C7460","C7480","C7480","C7480"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
191,1.591667,0.124722,0.063619,0.112573,0.005526,0.063255,0.135738,0.082229,0.109490,-0.016691,,,
192,1.600000,0.125154,0.062519,0.114335,0.005648,0.061747,0.137232,0.082720,0.108948,-0.014750,,,
193,1.608333,0.125564,0.061381,0.116248,0.005836,0.060146,0.138764,0.083263,0.108429,-0.012636,,,
194,1.616667,0.126020,0.060137,0.118051,0.006081,0.058417,0.140305,0.083915,0.107775,-0.010827,,,
195,1.625000,0.126458,0.058775,0.119779,0.006419,0.056499,0.141816,0.084576,0.107120,-0.008903,,,
196,1.633333,0.126900,0.057285,0.121464,0.006890,0.054344,0.143147,0.085254,0.106432,-0.007024,,,
197,1.641667,0.127366,0.055753,0.123076,0.007465,0.052104,0.144659,0.085955,0.105713,-0.005194,,,
198,1.650000,0.127854,0.054208,0.124770,0.008191,0.049697,0.146044,0.086646,0.104994,-0.003277,,,
199,1.658333,0.128379,0.052685,0.126289,0.008948,0.047317,0.147498,0.087374,0.104240,-0.001581,,,
200,1.666667,0.128823,0.051213,0.127861,0.009657,0.044973,0.148890,0.088077,0.103501,0.000211,,,
